,weight,birthDate,height,foot,shortName,currentNationalTeamId,passportArea.name,passportArea.alpha3code,role.code2,role.code3,role.name,birthArea.name,birthArea.alpha2code,age_2018
102,79,1994-01-31,183,right,D. Kohr,,Germany,DEU,MD,MID,Midfielder,Germany,DE,24
103,75,1994-05-20,180,right,P. Zieliński,13869.0,Poland,POL,MD,MID,Midfielder,Poland,PL,24
104,77,1992-08-24,184,right,Jemerson,,Brazil,BRA,DF,DEF,Defender,Brazil,BR,26
105,72,1997-05-07,176,right,Y. Tielemans,5629.0,Congo DR,COD,MD,MID,Midfielder,Belgium,BE,21
106,80,1995-12-05,185,right,T. Castagne,,Belgium,BEL,DF,DEF,Defender,Belgium,BE,23
107,71,1995-10-09,180,right,K. Tete,664.0,Ghana,GHA,DF,DEF,Defender,Netherlands,NL,23
108,71,1994-06-09,180,right,V. Fischer,7712.0,Denmark,DNK,FW,FWD,Forward,Denmark,DK,24
109,80,1994-03-23,177,left,O. Tannane,,Morocco,MAR,FW,FWD,Forward,Netherlands,NL,24
110,67,1995-08-13,183,left,P. Kimpembe,4418.0,Congo DR,COD,DF,DEF,Defender,France,FR,23
111,71,1996-06-13,178,right,K. Coman,,France,FRA,FW,FWD,Forward,France,FR,22
112,73,1996-08-30,178,left,Gabigol,,Brazil,BRA,FW,FWD,Forward,Brazil,BR,22
113,71,1996-04-20,171,right,M. Sissako,,Mauritania,MRT,FW,FWD,Forward,France,FR,22
114,71,1990-01-23,171,right,Ş. Özbayraklı,,Turkey,TUR,DF,DEF,Defender,Turkey,TR,28
115,86,1989-03-24,190,right,A. Semenov,14358.0,Russia,RUS,DF,DEF,Defender,Russia,RU,29
116,71,1998-06-05,173,left,Y. Armougom,,France,FRA,DF,DEF,Defender,Reunion,RE,20
117,79,1997-03-30,180,right,Zubeldía,1604.0,Spain,ESP,MD,MID,Midfielder,Spain,ES,21
118,74,1988-10-23,182,right,G. Gope-Fenepej,,New Caledonia,NCL,FW,FWD,Forward,New Caledonia,NC,30
119,80,1995-03-18,188,right,P. Gollini,,Italy,ITA,GK,GKP,Goalkeeper,Italy,IT,23
120,78,1997-03-29,178,right,E. Ponce,12281.0,Spain,ESP,FW,FWD,Forward,Argentina,AR,21
121,70,1996-10-20,180,right,E. Bearzotti,,Italy,ITA,MD,MID,Midfielder,Italy,IT,22
122,90,1985-12-01,195,left,E. Viviano,,Italy,ITA,GK,GKP,Goalkeeper,Italy,IT,33
123,87,1996-08-14,186,right,Maxi Gómez,15670.0,Uruguay,URY,FW,FWD,Forward,Uruguay,UY,22
124,79,1997-12-31,181,right,M. El Id,,Mauritania,MRT,MD,MID,Midfielder,Mauritania,MR,21
125,78,1995-03-19,186,right,T. Strakosha,,Albania,ALB,GK,GKP,Goalkeeper,Greece,GR,23
126,78,1996-06-24,184,right,M. Coco,,France,FRA,MD,MID,Midfielder,Guadeloupe,GP,22
127,74,1996-10-12,184,right,R. Bazoer,670.0,Curaçao,CUW,MD,MID,Midfielder,Netherlands,NL,22
128,83,1994-09-13,185,right,J. Pohjanpalo,4849.0,Finland,FIN,FW,FWD,Forward,Finland,FI,24
129,67,1992-08-25,175,left,M. Trauco,15594.0,Peru,PER,DF,DEF,Defender,Peru,PE,26
130,72,1989-06-10,173,right,V. Laurini,,France,FRA,DF,DEF,Defender,France,FR,29
131,67,1994-04-17,170,right,F. Mubele,18538.0,Congo DR,COD,FW,FWD,Forward,Congo DR,CD,24
132,86,1994-12-03,190,left,A. Barák,11555.0,Czech Republic,CZE,MD,MID,Midfielder,Czech Republic,CZ,24
133,85,1995-07-19,187,right,M. Akanji,6697.0,Nigeria,NGA,DF,DEF,Defender,Switzerland,CH,23
134,67,1995-01-18,182,left,Samu Castillejo,,Spain,ESP,MD,MID,Midfielder,Spain,ES,23
135,82,1996-04-25,197,right,F. Manojlović,32344.0,Serbia,SRB,GK,GKP,Goalkeeper,Serbia,RS,22
136,73,1992-02-16,185,right,Rubén Sobrino,,Spain,ESP,FW,FWD,Forward,Spain,ES,26
137,87,1982-06-20,189,right,V. Berezutski,,Russia,RUS,DF,DEF,Defender,Russia,RU,36
138,65,1998-09-11,174,right,J. Villalba,15519.0,Paraguay,PRY,FW,FWD,Forward,Paraguay,PY,20
139,80,1996-12-16,187,right,W. Ndidi,16823.0,Nigeria,NGA,MD,MID,Midfielder,Nigeria,NG,22
140,72,1993-03-12,181,right,A. Shehu,16823.0,Nigeria,NGA,DF,DEF,Defender,Nigeria,NG,25
141,70,1985-09-17,184,right,T. Hubočan,14496.0,Slovakia,SVK,DF,DEF,Defender,Slovakia,SK,33
142,83,1981-11-27,187,right,Bruno Alves,9905.0,Brazil,BRA,DF,DEF,Defender,Portugal,PT,37
143,68,1998-11-04,179,right,A. Hakimi,16216.0,Morocco,MAR,DF,DEF,Defender,Spain,ES,20
144,72,1985-05-21,180,right,Eloi Amagat,,Spain,ESP,MD,MID,Midfielder,Spain,ES,33
145,81,1987-01-10,190,right,Guaita,,Spain,ESP,GK,GKP,Goalkeeper,Spain,ES,31
146,68,1989-03-21,170,left,Jordi Alba,1598.0,Spain,ESP,DF,DEF,Defender,Spain,ES,29
147,76,1987-06-12,183,right,Barragán,,Spain,ESP,DF,DEF,Defender,Spain,ES,31
148,82,1986-04-08,186,right,I. Akinfeev,14358.0,Russia,RUS,GK,GKP,Goalkeeper,Russia,RU,32
149,90,1985-12-27,190,right,A. Rami,4418.0,Morocco,MAR,DF,DEF,Defender,France,FR,33
150,78,1989-01-25,185,left,Víctor Ruíz,,Spain,ESP,DF,DEF,Defender,Spain,ES,29
151,75,1992-01-04,187,right,Sabin Merino,,Spain,ESP,FW,FWD,Forward,Spain,ES,26
152,71,1988-06-29,174,right,É. Banega,12274.0,Spain,ESP,MD,MID,Midfielder,Argentina,AR,30
153,67,1993-03-01,170,left,Juan Bernat,,Spain,ESP,DF,DEF,Defender,Spain,ES,25
154,74,1991-02-16,180,left,Canales,,Spain,ESP,MD,MID,Midfielder,Spain,ES,27
155,74,1989-04-16,182,right,Dani Parejo,,Spain,ESP,MD,MID,Midfielder,Spain,ES,29
156,75,1992-05-21,178,right,Portu,,Spain,ESP,MD,MID,Midfielder,Spain,ES,26
157,76,1986-06-13,182,left,K. Honda,12913.0,Japan,JPN,MD,MID,Midfielder,Japan,JP,32
158,82,1986-03-03,187,right,M. Topal,,Turkey,TUR,MD,MID,Midfielder,Turkey,TR,32
159,78,1981-02-11,182,right,Aduriz,,Spain,ESP,FW,FWD,Forward,Spain,ES,37
160,71,1993-08-30,175,right,Paco Alcácer,,Spain,ESP,FW,FWD,Forward,Spain,ES,25
161,63,1989-03-31,163,left,P. Piatti,,Italy,ITA,FW,FWD,Forward,Argentina,AR,29
162,88,1987-05-13,191,left,Adán,,Spain,ESP,GK,GKP,Goalkeeper,Spain,ES,31
163,81,1992-05-18,186,left,Fernando Pacheco,,Spain,ESP,GK,GKP,Goalkeeper,Spain,ES,26
164,74,1993-09-08,181,left,Dalbert,,Brazil,BRA,DF,DEF,Defender,Brazil,BR,25
165,66,1992-10-14,171,right,A. Musa,16823.0,Nigeria,NGA,FW,FWD,Forward,Nigeria,NG,26
166,76,1990-01-18,180,right,Nacho,1598.0,Spain,ESP,DF,DEF,Defender,Spain,ES,28
167,82,1986-03-30,184,right,Sergio Ramos,1598.0,Spain,ESP,DF,DEF,Defender,Spain,ES,32
168,78,1978-05-18,183,right,Ricardo Carvalho,,Portugal,PRT,DF,DEF,Defender,Portugal,PT,40
169,78,1990-10-01,186,right,Pedro Mendes,,Portugal,PRT,DF,DEF,Defender,Switzerland,CH,28
170,81,1993-04-25,191,right,R. Varane,4418.0,Martinique,MTQ,DF,DEF,Defender,France,FR,25
171,80,1988-05-12,174,left,Marcelo,6380.0,Spain,ESP,DF,DEF,Defender,Brazil,BR,30
172,97,1995-09-03,195,right,N. Süle,3148.0,Germany,DEU,DF,DEF,Defender,Germany,DE,23
173,73,1987-02-11,178,right,José Callejón,,Spain,ESP,FW,FWD,Forward,Spain,ES,31
174,67,1985-03-10,173,right,L. Diarra,,Mali,MLI,MD,MID,Midfielder,France,FR,33
175,78,1987-07-02,180,right,Granero,,Spain,ESP,MD,MID,Midfielder,Spain,ES,31
176,85,1987-04-04,189,right,S. Khedira,3148.0,Tunisia,TUN,MD,MID,Midfielder,Germany,DE,31
177,76,1988-10-15,180,left,M. Özil,3148.0,Germany,DEU,MD,MID,Midfielder,Germany,DE,30
178,73,1988-09-05,180,left,N. Şahin,,Turkey,TUR,MD,MID,Midfielder,Germany,DE,30
179,81,1987-12-19,185,right,K. Benzema,,Algeria,DZA,FW,FWD,Forward,France,FR,31
180,83,1985-02-05,187,right,Cristiano Ronaldo,9905.0,Portugal,PRT,FW,FWD,Forward,Portugal,PT,33
181,82,1987-12-10,184,right,G. Higuaín,12274.0,Argentina,ARG,FW,FWD,Forward,France,FR,31
182,69,1988-09-11,180,right,Juanfran,,Spain,ESP,DF,DEF,Defender,Spain,ES,30
183,85,1989-09-14,189,left,Oier,,Spain,ESP,GK,GKP,Goalkeeper,Spain,ES,29
184,84,1988-09-05,183,left,F. Caicedo,,Spain,ESP,FW,FWD,Forward,Ecuador,EC,30
185,70,1983-05-06,172,right,Dani Alves,,Spain,ESP,DF,DEF,Defender,Brazil,BR,35
186,73,1991-01-15,184,right,Bartra,,Spain,ESP,DF,DEF,Defender,Spain,ES,27
187,89,1989-11-14,186,left,Fontàs,,Spain,ESP,DF,DEF,Defender,Spain,ES,29
188,77,1992-07-28,185,right,Sergi Gómez,,Spain,ESP,DF,DEF,Defender,Spain,ES,26
189,73,1991-04-14,175,right,Montoya,,Spain,ESP,DF,DEF,Defender,Spain,ES,27
190,72,1992-03-27,179,left,Muniesa,,Spain,ESP,DF,DEF,Defender,Spain,ES,26
191,80,1994-06-28,183,right,A. Cragno,,Italy,ITA,GK,GKP,Goalkeeper,Italy,IT,24
192,71,1993-02-12,174,left,Rafinha,,Spain,ESP,MD,MID,Midfielder,Brazil,BR,25
193,70,1991-04-11,174,right,Thiago Alcântara,1598.0,Brazil,BRA,MD,MID,Midfielder,Spain,ES,27
194,76,1988-07-16,189,right,Sergio Busquets,1598.0,Spain,ESP,MD,MID,Midfielder,Spain,ES,30
195,68,1992-02-07,178,right,Sergi Roberto,,Spain,ESP,DF,DEF,Defender,Spain,ES,26
196,68,1995-05-21,176,left,F. Costa,,Italy,ITA,DF,DEF,Defender,Italy,IT,23
197,68,1990-04-26,172,right,J. dos Santos,15473.0,Spain,ESP,MD,MID,Midfielder,Mexico,MX,28
198,68,1984-05-11,171,right,Iniesta,1598.0,Spain,ESP,MD,MID,Midfielder,Spain,ES,34
199,78,1994-07-29,188,right,D. Rugani,3757.0,Italy,ITA,DF,DEF,Defender,Italy,IT,24
200,72,1995-03-28,178,right,L. Capezzi,,Italy,ITA,MD,MID,Midfielder,Italy,IT,23
201,72,1991-08-11,178,right,Cristian Tello,,Spain,ESP,FW,FWD,Forward,Spain,ES,27
202,72,1987-06-24,170,left,L. Messi,12274.0,Spain,ESP,FW,FWD,Forward,Argentina,AR,31
203,75,1995-03-07,184,right,A. Grassi,,Italy,ITA,MD,MID,Midfielder,Italy,IT,23
204,91,1988-08-22,196,right,A. Dzyuba,14358.0,Russia,RUS,FW,FWD,Forward,Russia,RU,30
205,67,1986-09-28,169,left,A. Guardado,15473.0,Spain,ESP,MD,MID,Midfielder,Mexico,MX,32
206,75,1984-07-19,177,right,A. Samedov,14358.0,Russia,RUS,MD,MID,Midfielder,Russia,RU,34
207,84,1994-10-03,189,right,Arrizabalaga,1598.0,Spain,ESP,GK,GKP,Goalkeeper,Spain,ES,24
208,88,1988-03-13,196,right,Raúl Fernández,,Spain,ESP,GK,GKP,Goalkeeper,Spain,ES,30
209,89,1981-03-06,191,right,Iraizoz,,Spain,ESP,GK,GKP,Goalkeeper,Spain,ES,37
210,80,1993-10-10,185,right,R. Piscitelli,,Italy,ITA,GK,GKP,Goalkeeper,Italy,IT,25
211,68,1993-06-10,181,right,Ramalho,,Angola,AGO,DF,DEF,Defender,Spain,ES,25
212,73,1992-04-27,187,left,Saborit,,Spain,ESP,DF,DEF,Defender,Spain,ES,26
213,79,1989-05-30,187,right,San José,,Spain,ESP,MD,MID,Midfielder,Spain,ES,29
214,77,1989-03-08,187,right,Iturraspe,,Spain,ESP,MD,MID,Midfielder,Spain,ES,29
215,81,1988-09-02,190,right,Javi Martínez,,Spain,ESP,MD,MID,Midfielder,Spain,ES,30
216,66,1987-12-14,179,right,Susaeta,,Spain,ESP,MD,MID,Midfielder,Spain,ES,31
217,78,1989-04-14,182,right,De Marcos,,Spain,ESP,DF,DEF,Defender,Spain,ES,29
218,72,1989-11-11,177,right,Ibai Gómez,,Spain,ESP,MD,MID,Midfielder,Spain,ES,29
219,63,1992-12-19,169,right,Muniain,,Spain,ESP,FW,FWD,Forward,Spain,ES,26
220,87,1989-06-28,189,right,Sergio Asenjo,,Spain,ESP,GK,GKP,Goalkeeper,Spain,ES,29
221,81,1995-06-17,186,left,C. Lenglet,,France,FRA,DF,DEF,Defender,France,FR,23
222,79,1986-02-16,187,right,D. Godín,15670.0,Spain,ESP,DF,DEF,Defender,Uruguay,UY,32
223,73,1985-08-09,182,left,Filipe Luis,6380.0,Italy,ITA,DF,DEF,Defender,Brazil,BR,33
224,77,1995-05-07,183,right,S. Fofana,,Mali,MLI,MD,MID,Midfielder,France,FR,23
225,76,1986-09-20,181,left,C. Ansaldi,12274.0,Italy,ITA,DF,DEF,Defender,Argentina,AR,32
226,73,1992-01-08,177,right,Koke,1598.0,Spain,ESP,MD,MID,Midfielder,Spain,ES,26
227,77,1990-07-13,173,right,E. Salvio,12274.0,Argentina,ARG,MD,MID,Midfielder,Argentina,AR,28
228,71,1985-01-09,180,right,Juanfran,,Spain,ESP,DF,DEF,Defender,Spain,ES,33
229,76,1987-01-30,175,right,A. Turan,,Turkey,TUR,MD,MID,Midfielder,Turkey,TR,31
230,72,1986-02-10,177,right,R. Falcao,12430.0,Colombia,COL,FW,FWD,Forward,Colombia,CO,32
231,73,1988-01-08,183,right,Adrián López,,Spain,ESP,FW,FWD,Forward,Spain,ES,30
232,88,1993-09-01,194,right,Sergio Rico,,Spain,ESP,GK,GKP,Goalkeeper,Spain,ES,25
233,74,1987-04-26,177,right,Coke,,Spain,ESP,DF,DEF,Defender,Spain,ES,31
234,85,1987-03-17,195,right,F. Fazio,12274.0,Italy,ITA,DF,DEF,Defender,Argentina,AR,31
235,68,1991-03-17,178,left,Luna,,Spain,ESP,DF,DEF,Defender,Spain,ES,27
236,68,1982-06-25,177,left,Fernando Navarro,,Spain,ESP,DF,DEF,Defender,Spain,ES,36
237,75,1985-08-04,183,right,Alexis,,Spain,ESP,DF,DEF,Defender,Spain,ES,33
238,74,1992-09-04,182,left,L. Kurzawa,,Poland,POL,DF,DEF,Defender,France,FR,26
239,70,1993-05-31,179,right,Campaña,,Spain,ESP,MD,MID,Midfielder,Spain,ES,25
240,60,1985-11-21,172,right,Jesús Navas,,Spain,ESP,MD,MID,Midfielder,Spain,ES,33
241,70,1988-07-26,179,right,D. Perotti,,Spain,ESP,FW,FWD,Forward,Argentina,AR,30
242,78,1988-03-10,184,right,I. Rakitić,9598.0,Croatia,HRV,MD,MID,Midfielder,Switzerland,CH,30
243,72,1992-09-28,182,right,Luis Alberto,,Spain,ESP,MD,MID,Midfielder,Spain,ES,26
244,77,1994-02-26,184,right,A. Çalık,,Turkey,TUR,DF,DEF,Defender,Turkey,TR,24
245,82,1986-12-17,185,right,Andrés Fernández,,Spain,ESP,GK,GKP,Goalkeeper,Spain,ES,32
246,76,1983-10-06,185,right,Asier Riesgo,,Spain,ESP,GK,GKP,Goalkeeper,Spain,ES,35
247,70,1990-03-05,179,right,M. Ureña,16871.0,Costa Rica,CRI,FW,FWD,Forward,Costa Rica,CR,28
248,78,1988-11-04,185,right,Sergio Postigo,,Spain,ESP,DF,DEF,Defender,Spain,ES,30
249,83,1986-07-11,184,right,Raúl García,,Spain,ESP,MD,MID,Midfielder,Spain,ES,32
250,73,1984-06-09,184,right,M. Shojaei,10840.0,Iran,IRN,MD,MID,Midfielder,Iran,IR,34
251,80,1989-10-17,186,left,Timor,,Spain,ESP,MD,MID,Midfielder,Spain,ES,29
252,78,1986-02-25,184,right,Kike Sola,,Spain,ESP,FW,FWD,Forward,Spain,ES,32
253,89,1981-11-03,196,right,Diego López,,Spain,ESP,GK,GKP,Goalkeeper,Spain,ES,37
